step,baseline_running_acc,tda_running_acc,freetta_running_acc
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,0.6666666666666666,0.6666666666666666,0.6666666666666666
4,0.75,0.75,0.75
5,0.8,0.8,0.8
6,0.8333333333333334,0.6666666666666666,0.8333333333333334
7,0.8571428571428571,0.7142857142857143,0.8571428571428571
8,0.875,0.75,0.875
9,0.8888888888888888,0.7777777777777778,0.8888888888888888
10,0.9,0.8,0.9
11,0.9090909090909091,0.8181818181818182,0.9090909090909091
12,0.8333333333333334,0.75,0.8333333333333334
13,0.8461538461538461,0.7692307692307693,0.8461538461538461
14,0.8571428571428571,0.7142857142857143,0.8571428571428571
15,0.8666666666666667,0.7333333333333333,0.8666666666666667
16,0.875,0.75,0.875
17,0.8823529411764706,0.7647058823529411,0.8823529411764706
18,0.8888888888888888,0.7777777777777778,0.8888888888888888
19,0.8421052631578947,0.7368421052631579,0.8421052631578947
20,0.85,0.75,0.85
21,0.8571428571428571,0.7619047619047619,0.8571428571428571
22,0.8636363636363636,0.7727272727272727,0.8636363636363636
23,0.8695652173913043,0.782608695652174,0.8695652173913043
24,0.875,0.7916666666666666,0.875
25,0.88,0.8,0.88
26,0.8846153846153846,0.8076923076923077,0.8846153846153846
27,0.8518518518518519,0.8148148148148148,0.8518518518518519
28,0.8214285714285714,0.7857142857142857,0.8214285714285714
29,0.8275862068965517,0.7586206896551724,0.8275862068965517
30,0.8333333333333334,0.7333333333333333,0.8333333333333334
