bin_index,entropy_min,entropy_max,count,accuracy
0,0.03184251859784126,0.24202055531309377,3,1.0
1,0.24202055531309377,0.4521985920283463,1,1.0
2,0.4521985920283463,0.6623766287435988,0,nan
3,0.6623766287435988,0.8725546654588513,1,1.0
4,0.8725546654588513,1.0827327021741038,0,nan
5,1.0827327021741038,1.2929107388893564,2,0.5
6,1.2929107388893564,1.5030887756046087,1,0.0
7,1.5030887756046087,1.7132668123198613,1,0.0
8,1.7132668123198613,1.923444849035114,0,nan
9,1.923444849035114,2.1336228857503663,1,0.0
